"rgn_id","year","count"
1,1990,37265351.9357958
3,1990,37265351.9357958
2,1990,37265351.9357958
4,1990,37265351.9357958
1,1991,39908363.4616949
3,1991,39908363.4616949
2,1991,39908363.4616949
4,1991,39908363.4616949
1,1992,39828888.2884412
3,1992,39828888.2884412
2,1992,39828888.2884412
4,1992,39828888.2884412
1,1993,39782718.9748869
3,1993,39782718.9748869
2,1993,39782718.9748869
4,1993,39782718.9748869
1,1994,39696976.0354609
3,1994,39696976.0354609
2,1994,39696976.0354609
4,1994,39696976.0354609
1,1995,39749047.9018301
3,1995,39749047.9018301
2,1995,39749047.9018301
4,1995,39749047.9018301
1,1996,39963147.0565069
3,1996,39963147.0565069
2,1996,39963147.0565069
4,1996,39963147.0565069
1,1997,40216096.2702319
3,1997,40216096.2702319
2,1997,40216096.2702319
4,1997,40216096.2702319
1,1998,40508873.7632266
3,1998,40508873.7632266
2,1998,40508873.7632266
4,1998,40508873.7632266
1,1999,40355557.3924857
3,1999,40355557.3924857
2,1999,40355557.3924857
4,1999,40355557.3924857
1,2000,40309081.2480275
3,2000,40309081.2480275
2,2000,40309081.2480275
4,2000,40309081.2480275
1,2001,40493239.8979603
3,2001,40493239.8979603
2,2001,40493239.8979603
4,2001,40493239.8979603
1,2002,40476779.6364041
3,2002,40476779.6364041
2,2002,40476779.6364041
4,2002,40476779.6364041
1,2003,40276006.3900373
3,2003,40276006.3900373
2,2003,40276006.3900373
4,2003,40276006.3900373
1,2004,40743681.1429465
3,2004,40743681.1429465
2,2004,40743681.1429465
4,2004,40743681.1429465
1,2005,41261506.1713122
3,2005,41261506.1713122
2,2005,41261506.1713122
4,2005,41261506.1713122
1,2006,41605652.2277825
3,2006,41605652.2277825
2,2006,41605652.2277825
4,2006,41605652.2277825
1,2007,41860106.2359434
3,2007,41860106.2359434
2,2007,41860106.2359434
4,2007,41860106.2359434
1,2008,41939193.4653989
3,2008,41939193.4653989
2,2008,41939193.4653989
4,2008,41939193.4653989
1,2009,41983039.0459826
3,2009,41983039.0459826
2,2009,41983039.0459826
4,2009,41983039.0459826
1,2010,41990452.2557447
3,2010,41990452.2557447
2,2010,41990452.2557447
4,2010,41990452.2557447
1,2011,42490516.9800479
3,2011,42490516.9800479
2,2011,42490516.9800479
4,2011,42490516.9800479
1,2012,42522729.5873484
3,2012,42522729.5873484
2,2012,42522729.5873484
4,2012,42522729.5873484
