"cntry_key","sector","year","value"
"DEU","cf",2002,21386.1553485577
"DEU","cf",2003,20024.9134726673
"DEU","cf",2004,28117.4045138889
"DEU","cf",2005,28160.9380564458
"DEU","cf",2006,28407.4936565172
"DEU","cf",2007,30993.172409188
"DEU","ph",2003,27080.7764645654
"DEU","ph",2004,39004.1037882836
"DEU","ph",2005,39987.7331508192
"DEU","ph",2006,41414.6690259972
"DEU","ph",2007,46644.9040687322
"DEU","ph",2008,52334.8635594729
"DEU","sb",2003,23282.8010928597
"DEU","sb",2004,33221.1844506767
"DEU","sb",2005,33928.978031517
"DEU","sb",2006,35270.1461226851
"DEU","sb",2007,40064.1415153134
"DEU","sb",2008,43592.5758992165
"DEU","tour",2003,73963.1758035078
"DEU","tour",2004,105398.822838764
"DEU","tour",2005,107159.929498309
"DEU","tour",2006,109760.397191062
"DEU","tour",2007,121454.571759259
"DEU","tour",2008,133928.429932336
"DEU","tran",2003,81183.1263354701
"DEU","tran",2004,113990.943843483
"DEU","tran",2005,162687.277421652
"DEU","tran",2006,172708.533653846
"DEU","tran",2007,195041.800213675
"DEU","tran",2008,219724.158653846
