"rgn_id","year","count"
1,1988,694500
3,1988,694500
2,1988,694500
4,1988,694500
1,1989,717300
3,1989,717300
2,1989,717300
4,1989,717300
1,1990,694100
3,1990,694100
2,1990,694100
4,1990,694100
1,1991,770500
3,1991,770500
2,1991,770500
4,1991,770500
1,1992,812700
3,1992,812700
2,1992,812700
4,1992,812700
1,1993,818300
3,1993,818300
2,1993,818300
4,1993,818300
1,1994,739400
3,1994,739400
2,1994,739400
4,1994,739400
1,1995,702100
3,1995,702100
2,1995,702100
4,1995,702100
1,1996,759700
3,1996,759700
2,1996,759700
4,1996,759700
1,1997,828200
3,1997,828200
2,1997,828200
4,1997,828200
1,1998,860900
3,1998,860900
2,1998,860900
4,1998,860900
1,1999,884700
3,1999,884700
2,1999,884700
4,1999,884700
1,2000,973400
3,2000,973400
2,2000,973400
4,2000,973400
1,2001,946900
3,2001,946900
2,2001,946900
4,2001,946900
1,2002,850800
3,2002,850800
2,2002,850800
4,2002,850800
1,2003,764500
3,2003,764500
2,2003,764500
4,2003,764500
1,2004,770500
3,2004,770500
2,2004,770500
4,2004,770500
1,2005,771900
3,2005,771900
2,2005,771900
4,2005,771900
1,2006,780300
3,2006,780300
2,2006,780300
4,2006,780300
1,2007,740100
3,2007,740100
2,2007,740100
4,2007,740100
1,2008,705900
3,2008,705900
2,2008,705900
4,2008,705900
1,2009,747900
3,2009,747900
2,2009,747900
4,2009,747900
1,2010,763400
3,2010,763400
2,2010,763400
4,2010,763400
1,2011,764000
3,2011,764000
2,2011,764000
4,2011,764000
1,2012,766000
3,2012,766000
2,2012,766000
4,2012,766000
1,2013,765900
3,2013,765900
2,2013,765900
4,2013,765900
