"rgn_id","species_code","year","tonnes"
1,305,2009,0
3,305,2009,0
2,305,2009,0
4,305,2009,0
1,305,2010,0
3,305,2010,0
2,305,2010,0
4,305,2010,0
1,305,2011,0
3,305,2011,0
2,305,2011,0
4,305,2011,0
1,305,2012,0
3,305,2012,0
2,305,2012,0
4,305,2012,0
