"cntry_key","year","usd"
"DEU",1980,9853.19002
"DEU",1981,10817.21243
"DEU",1982,11441.84602
"DEU",1983,12113.17425
"DEU",1984,12967.64693
"DEU",1985,13705.36684
"DEU",1986,14325.7545
"DEU",1987,14929.60943
"DEU",1988,15955.66628
"DEU",1989,17072.64879
"DEU",1990,18504.46108
"DEU",1991,19992.86643
"DEU",1992,20700.9867
"DEU",1993,20806.17207
"DEU",1994,21691.06757
"DEU",1995,22446.37628
"DEU",1996,23027.38046
"DEU",1997,23523.03768
"DEU",1998,24165.59188
"DEU",1999,24990.18244
"DEU",2000,25756.72576
"DEU",2001,26713.68887
"DEU",2002,27443.661
"DEU",2003,28359.73522
"DEU",2004,29678.55613
"DEU",2005,31114.53059
"DEU",2006,33503.25278
"DEU",2007,35538.26099
"DEU",2008,37119.2212
"DEU",2009,35630.7481
"DEU",2010,37651.59289
"DEU",2011,39456.42308
"DEU",2012,40394.18357
