"rgn_id","year","popsum"
1,2005,6852730
3,2005,6852730
2,2005,6852730
4,2005,6852730
1,2006,6844670
3,2006,6844670
2,2006,6844670
4,2006,6844670
1,2007,6836600
3,2007,6836600
2,2007,6836600
4,2007,6836600
1,2008,6828530
3,2008,6828530
2,2008,6828530
4,2008,6828530
1,2009,6820460
3,2009,6820460
2,2009,6820460
4,2009,6820460
1,2010,6812400
3,2010,6812400
2,2010,6812400
4,2010,6812400
1,2011,6800970
3,2011,6800970
2,2011,6800970
4,2011,6800970
1,2012,6789550
3,2012,6789550
2,2012,6789550
4,2012,6789550
1,2013,6778120
3,2013,6778120
2,2013,6778120
4,2013,6778120
1,2014,6766700
3,2014,6766700
2,2014,6766700
4,2014,6766700
1,2015,6755280
3,2015,6755280
2,2015,6755280
4,2015,6755280
