"rgn_id","year","popsum"
1,2005,1322241.03745148
2,2005,1668225.85850833
3,2005,1033823.712121
4,2005,2028445.73061802
1,2006,1181872.07494868
2,2006,1428347.17844462
3,2006,887501.627623683
4,2006,1756590.31764929
1,2007,1180152.35365806
2,2007,1430252.65554617
3,2007,880430.091392288
4,2007,1757215.43894321
1,2008,1178432.62058775
2,2008,1432158.16558415
3,2008,873358.536107739
4,2008,1757840.55154301
1,2009,1176712.93908362
2,2009,1434063.61573345
3,2009,866286.976453717
4,2009,1758465.63264303
1,2010,1312816.81978671
2,2010,1678372.20954207
3,2010,992408.665821555
4,2010,2031702.44010192
1,2011,1172275.93600249
2,2011,1436896.90255014
3,2011,852561.872041874
4,2011,1758442.21314049
1,2012,1169558.58531017
2,2012,1437824.71876268
3,2012,845908.318763076
4,2012,1757793.69567558
1,2013,1166841.25144598
2,2013,1438752.48181202
3,2013,839254.762129625
4,2013,1757145.15967624
1,2014,1164123.87479027
2,2014,1439680.24220806
3,2014,832601.194297092
4,2014,1756496.60017004
1,2015,1297824.01799477
2,2015,1682783.67872545
3,2015,953472.850357075
4,2015,2027603.67880044
