"rgn_id","year","count"
1,1988,155690.218075713
3,1988,111352.291897258
2,1988,192543.19555043
4,1988,234914.294476599
1,1989,160801.430418587
3,1989,115007.917894749
2,1989,198864.268060941
4,1989,242626.383625723
1,1990,155600.547683732
3,1990,111288.158107828
2,1990,192432.299541474
4,1990,234778.994666966
1,1991,172727.59255196
3,1991,123537.711888894
2,1991,213613.437252133
4,1991,260621.258307012
1,1992,182187.818905877
3,1992,130303.826673724
2,1992,225312.966197026
4,1992,274895.388223373
1,1993,183443.204393601
3,1993,131201.69972574
2,1993,226865.510322415
4,1993,276789.585558245
1,1994,165755.719575496
3,1994,118551.309760738
2,1994,204991.272555778
4,1994,250101.698107988
1,1995,157393.955523337
3,1995,112570.833896422
2,1995,194650.219720601
4,1995,237484.990859641
1,1996,170306.491968494
3,1996,121806.099574293
2,1996,210619.245010312
4,1996,256968.163446901
1,1997,185662.546595112
3,1997,132789.011014124
2,1997,229610.186544084
4,1997,280138.25584668
1,1998,192993.101139497
3,1998,138031.948299999
2,1998,238675.935276264
4,1998,291199.015284239
1,1999,198328.489462322
3,1999,141847.908771064
2,1999,245274.247809166
4,1999,299249.353957448
1,2000,218212.898883943
3,2000,156069.576577093
2,2000,269865.437795232
4,2000,329252.086743732
1,2001,212272.235415252
3,2001,151820.713027377
2,2001,262518.577201875
4,2001,320288.474355496
1,2002,190728.923741996
3,2002,136412.5701169
2,2002,235875.811050117
4,2002,287782.695090987
1,2003,171382.536672257
3,2003,122575.705047449
2,2003,211949.997117788
4,2003,258591.761162506
1,2004,172727.59255196
3,2004,123537.711888894
2,2004,213613.437252133
4,2004,260621.258307012
1,2005,173041.438923891
3,2005,123762.180151898
2,2005,214001.57328348
4,2005,261094.80764073
1,2006,174924.517155477
3,2006,125108.989729921
2,2006,216330.389471563
4,2006,263936.103643039
1,2007,165912.642761461
3,2007,118663.54389224
2,2007,205185.340571452
4,2007,250338.472774847
1,2008,158245.82424715
3,2008,113180.104896003
2,2008,195703.731805686
4,2008,238770.339051161
1,2009,167661.215405076
3,2009,119914.152786118
2,2009,207347.812746101
4,2009,252976.819062705
1,2010,171135.943094311
3,2010,122399.337126518
2,2010,211645.033093158
4,2010,258219.686686013
1,2011,171270.448682281
3,2011,122495.537810662
2,2011,211811.377106593
4,2011,258422.636400463
1,2012,171718.800642183
3,2012,122816.206757811
2,2012,212365.857151375
4,2012,259099.135448632
1,2013,171696.383044188
3,2013,122800.173310453
2,2013,212338.133149135
4,2013,259065.310496224
