"rgn_id","year","usd"
1,1998,488293394249.064
2,1998,603875899571.031
3,1998,349235740305.04
4,1998,736764965874.866
1,2002,449829279609.135
2,2002,556307056529.212
3,2002,321725551329.185
4,2002,678728112532.468
1,2003,543359981964.137
2,2003,671977138671.114
3,2003,388620300393.798
4,2003,819852578970.952
1,2004,611179941178.601
2,2004,755850562645.011
3,2004,437126288684.19
4,2004,922183207492.198
1,2005,620126804538.43
2,2005,766915211938.629
3,2005,443525237524.535
4,2005,935682745998.406
1,2006,650726825801.691
2,2006,804758474994.977
3,2006,465410893167.409
4,2006,981853806035.923
1,2007,745118363919.704
2,2007,921493158822.859
3,2007,532921326610.547
4,2007,1124277150646.89
1,2008,812344256787.299
2,2008,1004631896737.42
3,2008,581002428545.967
4,2008,1225711417929.31
1,2009,739475854504.346
2,2009,914515027459.282
3,2009,528885707910.685
4,2009,1115763410125.69
1,2010,736299280868.446
2,2010,910586536342.004
3,2010,526613768420.139
4,2010,1110970414369.41
1,2011,807219593885.627
2,2011,998294189825.566
3,2011,577337182480.062
4,2011,1217979033808.74
