"goal","dimension","region_id","score"
"AO","future",0,86.56
"AO","future",1,86.56
"AO","future",2,86.56
"AO","future",3,86.58
"AO","future",4,86.54
"AO","pressures",1,16.71
"AO","pressures",2,16.75
"AO","pressures",3,16.65
"AO","pressures",4,16.81
"AO","resilience",1,83.76
"AO","resilience",2,83.76
"AO","resilience",3,83.76
"AO","resilience",4,83.76
"AO","score",0,78.45
"AO","score",1,78.45
"AO","score",2,78.45
"AO","score",3,78.46
"AO","score",4,78.44
"AO","status",0,70.34
"AO","status",1,70.34
"AO","status",2,70.34
"AO","status",3,70.34
"AO","status",4,70.34
"AO","trend",1,0.01
"AO","trend",2,0.01
"AO","trend",3,0.01
"AO","trend",4,0.01
"BD","future",0,96.51
"BD","future",1,96.52
"BD","future",2,96.51
"BD","future",3,96.53
"BD","future",4,96.5
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,91.58
"BD","score",1,91.58
"BD","score",2,91.58
"BD","score",3,91.59
"BD","score",4,91.57
"BD","status",0,86.64
"BD","status",1,86.64
"BD","status",2,86.64
"BD","status",3,86.64
"BD","status",4,86.64
"BD","trend",1,0.04
"BD","trend",2,0.04
"BD","trend",3,0.04
"BD","trend",4,0.04
"CP","future",0,92.23
"CP","future",1,92.23
"CP","future",2,92.23
"CP","future",3,92.23
"CP","future",4,92.23
"CP","pressures",1,27.26
"CP","pressures",2,27.26
"CP","pressures",3,27.25
"CP","pressures",4,27.26
"CP","resilience",1,88.71
"CP","resilience",2,88.71
"CP","resilience",3,88.71
"CP","resilience",4,88.71
"CP","score",0,83.28
"CP","score",1,83.28
"CP","score",2,83.28
"CP","score",3,83.28
"CP","score",4,83.28
"CP","status",0,74.33
"CP","status",1,74.33
"CP","status",2,74.33
"CP","status",3,74.33
"CP","status",4,74.33
"CP","trend",1,0.06
"CP","trend",2,0.06
"CP","trend",3,0.06
"CP","trend",4,0.06
"CS","future",0,
"CS","future",1,
"CS","future",2,
