"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,150,155,1,3.60083e+12,1,1,1,1,3.60083e+12,3.60083e+12,3.60083e+12,4,4,4,4,4,4,"v","1",3.60083e+12,1,1,0,1
1,150,155,2,3.60083e+12,1,1,1,1,3.60083e+12,3.60083e+12,3.60083e+12,4,4,4,4,4,4,"v","2",3.60083e+12,1,1,0,1
1,150,155,3,3.60083e+12,1,1,1,1,3.60083e+12,3.60083e+12,3.60083e+12,4,4,4,4,4,4,"v","3",3.60083e+12,1,1,0,1
1,150,155,4,3.60083e+12,1,1,1,1,3.60083e+12,3.60083e+12,3.60083e+12,4,4,4,4,4,4,"v","4",3.60083e+12,1,1,0,1
